recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
133110711,"{'steamid': '76561198032312006', 'num_games_owned': 0, 'num_reviews': 8, 'playtime_forever': 4879, 'playtime_last_two_weeks': 0, 'playtime_at_review': 889, 'last_played': 1679070048}",koreana,해리포터 세계관의 힘이 엄청납니다 익숙한 서양 고전 판타지가 아니라 해리포터 세계에서 탐험을 하고 마법을 사용하는 부분에서 흥미롭고 재미있습니다 또한 스토리 진행이 몰입감을 주고 콜렉션이나 할수있는 콘텐츠가 많아서 게임은 매우 만족스럽습니다,1676736945,1676736945,True,0,0,0,0,True,False,False,True,
133109414,"{'steamid': '76561198112256807', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 2979, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2159, 'last_played': 1677170074}",koreana,갓겜,1676735779,1676735779,True,0,0,0,0,True,False,False,True,
133109218,"{'steamid': '76561198052939787', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2799, 'playtime_last_two_weeks': 0, 'playtime_at_review': 515, 'last_played': 1705327153}",koreana,갓겜이다 그냥 해라,1676735594,1676735594,True,0,0,0,0,True,False,False,True,
133108731,"{'steamid': '76561198150033039', 'num_games_owned': 68, 'num_reviews': 20, 'playtime_forever': 3407, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3407, 'last_played': 1676734827}",koreana,초등학생시절 감기 걸려서 열이 펄 나는데도 기침하며 아즈카반의 죄수를 재밌게 읽었던 기억을 다시금 느끼게 해준 고마운 게임,1676735104,1676735104,True,0,0,0,0,False,False,False,True,
133108001,"{'steamid': '76561198120002630', 'num_games_owned': 90, 'num_reviews': 9, 'playtime_forever': 2314, 'playtime_last_two_weeks': 0, 'playtime_at_review': 450, 'last_played': 1678341306}",koreana,환상적인 모험입니다,1676734415,1676734415,True,0,0,0,0,True,False,False,True,
133107548,"{'steamid': '76561198028694515', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1985, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1977, 'last_played': 1676734487}",koreana,그리핀도르**들다***없음,1676733997,1676733997,True,0,0,0,0,False,False,False,True,
133106732,"{'steamid': '76561198127756644', 'num_games_owned': 41, 'num_reviews': 16, 'playtime_forever': 2798, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1093, 'last_played': 1684068194}",koreana,장점은해리포터팬이라면단점을*어먹을정도로뽕차는겜이라는거고단점은미친발적화때문에사람많은곳가면프레임드랍이조금발생하고그림자옵션키는순간오지는프레임드랍에당장옵션을끄게된다그리고유비식오픈월드라서좀지루할거임단찐팬들은이게임이모욕적으로느껴질거임찐팬들은게임시작로고만보고끄셈,1676733225,1679109492,True,0,0,0,0,True,False,False,True,
133106588,"{'steamid': '76561198145584645', 'num_games_owned': 32, 'num_reviews': 8, 'playtime_forever': 2937, 'playtime_last_two_weeks': 0, 'playtime_at_review': 798, 'last_played': 1706624384}",koreana,그냥,1676733079,1676733079,True,0,0,0,0,True,False,False,True,
133106492,"{'steamid': '76561198454282952', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2825, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1228, 'last_played': 1678505623}",koreana,호그와트 구현력이랑 스토리도 재밌고 대결구도 잘만든게임,1676732997,1676732997,True,0,0,0,0,True,False,False,True,
133106270,"{'steamid': '76561198124356990', 'num_games_owned': 51, 'num_reviews': 3, 'playtime_forever': 4897, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3798, 'last_played': 1702530873}",koreana,해리포터 영화를 봤다면 게임도,1676732763,1676732763,True,0,0,0,0,False,False,False,True,
133105921,"{'steamid': '76561198403461697', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 2520, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1483, 'last_played': 1678022666}",koreana,생각보다 너무 만족하면서 하고있어요,1676732435,1676732435,True,1,0,0.523809552192687988,0,True,False,False,True,
133105131,"{'steamid': '76561198433139186', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 7943, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2502, 'last_played': 1705858329}",koreana,재밌어요,1676731684,1676731684,True,0,0,0,0,True,False,False,True,
133104824,"{'steamid': '76561199439047816', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 3575, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3027, 'last_played': 1677512045}",koreana,해리포터를보**라온세대라면최고의게임아쉬운점은적은상호반응과적은키셋,1676731417,1676731417,True,0,0,0,0,True,False,False,True,
133104126,"{'steamid': '76561198298819576', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 6853, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3009, 'last_played': 1688892875}",koreana,**처럼구석구석핥아먹어도줄어들지않는마치무한리필집느낌쓰,1676730799,1676730799,True,0,0,0.496183186769485474,0,True,False,False,True,
133102181,"{'steamid': '76561199109103589', 'num_games_owned': 19, 'num_reviews': 1, 'playtime_forever': 2356, 'playtime_last_two_weeks': 0, 'playtime_at_review': 614, 'last_played': 1678370805}",koreana,와 너무 재밌음 진짜,1676729038,1676729038,True,0,0,0.496183186769485474,0,True,False,False,True,
133100893,"{'steamid': '76561198133212626', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 4809, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4022, 'last_played': 1699539953}",koreana,재밋음,1676727852,1676727852,True,0,0,0.496183186769485474,0,True,False,False,True,
133100566,"{'steamid': '76561198119990421', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 1636, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1547, 'last_played': 1706550535}",koreana,동물납치하고 안전하다며 키움 특정 트젠 살짝 충격 저주개사기라 계속씀 이간질 박쥐짓 후반부 친구관련 퀘할때 재밋슴 주인공 싸패인듯 재밋다,1676727542,1676727542,True,1,0,0.51754385232925415,0,False,False,False,True,
133099474,"{'steamid': '76561199476756299', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2761, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1240, 'last_played': 1677647042}",koreana,해리포터팬이라면 무조건 해야하는 겜,1676726525,1676726525,True,0,0,0,0,True,False,False,True,
133099291,"{'steamid': '76561198123414986', 'num_games_owned': 0, 'num_reviews': 29, 'playtime_forever': 1821, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1426, 'last_played': 1677377707}",koreana,이 세계관에서 가장 위험한 건 아무래도 내 캐릭터인 것 같다 나중에 볼드모트 나올때 얘 있었으면 죽먹자들이 얘를 따르지 볼드모트 따랐을 것 같지 않음,1676726325,1676726325,True,0,0,0,0,True,False,False,True,
133099052,"{'steamid': '76561198394556941', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 3469, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1269, 'last_played': 1696239757}",koreana,해리포터 좋아한다 무지성 구매,1676726094,1676726094,True,0,0,0,0,True,False,False,True,
133098495,"{'steamid': '76561198093957264', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 2009, 'playtime_last_two_weeks': 0, 'playtime_at_review': 628, 'last_played': 1705591291}",koreana,해줘,1676725528,1676725528,True,0,0,0,0,True,False,False,True,
